ID;size
acta palaeontologica polonica;1316
alcheringa an australasian journal of palaeontology;339
analytical chemistry;978
angewandte chemie international edition;1269
astronomy  astrophysics;2205
astronomy and astrophysics;4325
astrophysical journal;1234
bulletin of geosciences;183
canadian journal of earth sciences;730
chemical reviews;1154
comptes rendus palevol;345
cretaceous research;1984
earth and environmental science transactions of the royal society of edinburgh;285
earth and planetary science letters;1081
fossil record;151
geobios;355
geochimica et cosmochimica acta;551
geological magazine;538
geology;1268
geophysical research letters;1434
gondwana research;377
icarus;2062
journal of paleontology;1972
journal of south american earth sciences;348
journal of systematic palaeontology;1145
journal of vertebrate paleontology;3973
man;289
monthly notices of the royal astronomical society;3695
nano letters;608
nature geoscience;607
neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen;403
palaeontologia electronica;403
paleontological journal;994
papers in palaeontology;228
physical review;1643
physical review a;819
physical review b;1325
physical review d;1425
physical review letters;4477
physics letters b;709
proceedings of the geologists association;190
publications of the astronomical society of the pacific;714
the astronomical journal;2752
the astrophysical journal;6304
the astrophysical journal letters;657
the journal of organic chemistry;755
vertebrata palasiatica;436
